Workload,Record_Count,Operation_Count,No.threads,Consistency,Replication,Runtime (ms),Throughput (ops/sec),Read_Latency (ms),Write_Latency (ms)
workload-A,250000,250000,32,ALL,Full,91.04,2661.52,12.61,18.91
workload-A,250000,500000,32,ALL,Full,90.48,5116.73,12.78,18.64
workload-A,250000,750000,32,ALL,Full,91.92,7702.22,13.37,18.85
workload-A,250000,1000000,32,ALL,Full,94.36,10365.08,12.74,18.65
workload-A,250000,1250000,32,ALL,Full,95.01,13157.55,13.03,18.56
workload-A,250000,1500000,32,ALL,Full,98.27,15640.28,13.45,18.54
workload-A,250000,1750000,32,ALL,Full,97.26,18710.62,13.09,20.29
workload-A,250000,2000000,32,ALL,Full,97.93,20837.46,12.47,19.28
workload-A,250000,2250000,32,ALL,Full,95.24,21996.04,12.43,20.13
workload-A,250000,2500000,32,ALL,Full,93.23,26639.03,13.42,20.37
workload-A,250000,2750000,32,ALL,Full,90.24,28274.8,12.88,18.99
workload-A,250000,3000000,32,ALL,Full,89.99,32191.34,13.27,18.89
workload-A,250000,3250000,32,ALL,Full,96.34,31998.13,13.1,18.6
workload-A,250000,3500000,32,ALL,Full,97.69,36016.27,12.83,18.7
workload-A,250000,3750000,32,ALL,Full,91.63,38964.61,12.63,19.71
workload-A,250000,4000000,32,ALL,Full,90.15,39443.33,12.43,20.13
workload-A,250000,4250000,32,ALL,Full,89.62,43121.42,12.54,19.21
workload-A,250000,4500000,32,ALL,Full,92.63,44216.65,12.95,19.7
workload-A,250000,4750000,32,ALL,Full,97.56,46607.47,13.25,18.97
workload-A,250000,5000000,32,ALL,Full,90.16,53322.77,13.37,18.72
workload-A,250000,250000,64,ALL,Full,46.53,5020.63,12.45,18.67
workload-A,250000,500000,64,ALL,Full,45.65,10198.12,12.99,19.32
workload-A,250000,750000,64,ALL,Full,46.08,15597.97,12.61,18.8
workload-A,250000,1000000,64,ALL,Full,47.35,20797.51,13.56,19.8
workload-A,250000,1250000,64,ALL,Full,49.01,24410.58,12.61,19.47
workload-A,250000,1500000,64,ALL,Full,46.69,30393.37,13.07,19.65
workload-A,250000,1750000,64,ALL,Full,46.56,36003.31,12.63,20.31
workload-A,250000,2000000,64,ALL,Full,48.55,39787.5,13.0,18.74
workload-A,250000,2250000,64,ALL,Full,45.11,44430.28,13.01,20.18
workload-A,250000,2500000,64,ALL,Full,45.84,51534.91,13.15,19.28
workload-A,250000,2750000,64,ALL,Full,46.0,58037.52,12.57,20.22
workload-A,250000,3000000,64,ALL,Full,47.37,62674.99,13.6,18.56
workload-A,250000,3250000,64,ALL,Full,45.4,66750.77,13.29,18.66
workload-A,250000,3500000,64,ALL,Full,48.9,69281.34,12.32,18.85
workload-A,250000,3750000,64,ALL,Full,48.25,74927.02,12.69,19.29
workload-A,250000,4000000,64,ALL,Full,45.44,83953.64,12.49,19.88
workload-A,250000,4250000,64,ALL,Full,45.23,91317.94,12.56,19.73
workload-A,250000,4500000,64,ALL,Full,48.44,95915.06,12.82,18.56
workload-A,250000,4750000,64,ALL,Full,47.92,96719.61,12.56,19.37
workload-A,250000,5000000,64,ALL,Full,47.47,106412.51,12.61,19.79
workload-A,250000,250000,160,ALL,Full,18.84,13235.48,13.47,19.48
workload-A,250000,500000,160,ALL,Full,19.09,24968.62,12.33,19.44
workload-A,250000,750000,160,ALL,Full,18.77,38295.91,12.78,20.4
workload-A,250000,1000000,160,ALL,Full,18.5,52775.33,13.0,18.7
workload-A,250000,1250000,160,ALL,Full,19.47,64941.97,13.01,19.68
workload-A,250000,1500000,160,ALL,Full,18.14,75455.0,12.43,20.24
