Workload,Frequency (GHz),Governor,Record_Count,Operation_Count,No.threads,Consistency,Replication,Runtime (ms),Dynamic Power (W),Dynamic Energy (J)
workload-A,,performance,250000,250000,32,ALL,Full,9828.76,105.81,1040.02
workload-A,,conservative,250000,250000,32,ALL,Full,10547.91,88.12,929.52
workload-A,,powersave,250000,250000,32,ALL,Full,10350.0,79.53,823.12
workload-A,,ondemand,250000,250000,32,ALL,Full,9792.87,94.14,921.89
workload-A,1.0,userspace,250000,250000,32,ALL,Full,10227.87,90.81,928.79
workload-A,1.1,userspace,250000,250000,32,ALL,Full,10392.57,95.21,989.44
workload-A,1.2,userspace,250000,250000,32,ALL,Full,10422.99,92.34,962.45
workload-A,1.3,userspace,250000,250000,32,ALL,Full,9919.55,105.19,1043.41
workload-A,1.4,userspace,250000,250000,32,ALL,Full,10412.02,109.55,1140.62
workload-A,1.5,userspace,250000,250000,32,ALL,Full,10625.47,108.36,1151.41
workload-A,1.6,userspace,250000,250000,32,ALL,Full,9921.34,116.3,1153.84
workload-A,1.7,userspace,250000,250000,32,ALL,Full,10031.98,119.94,1203.29
workload-A,1.8,userspace,250000,250000,32,ALL,Full,9761.83,118.17,1153.54
workload-A,1.9,userspace,250000,250000,32,ALL,Full,9950.0,127.54,1269.05
workload-A,2.0,userspace,250000,250000,32,ALL,Full,10628.81,135.1,1435.98
workload-A,2.1,userspace,250000,250000,32,ALL,Full,9830.33,128.76,1265.72
workload-A,2.2,userspace,250000,250000,32,ALL,Full,10085.33,146.28,1475.28
workload-A,2.3,userspace,250000,250000,32,ALL,Full,10128.4,141.21,1430.23
workload-A,2.4,userspace,250000,250000,32,ALL,Full,9936.36,149.75,1488.02
workload-A,2.5,userspace,250000,250000,32,ALL,Full,10473.67,149.3,1563.69
workload-A,2.6,userspace,250000,250000,32,ALL,Full,10589.97,153.93,1630.12
workload-A,2.7,userspace,250000,250000,32,ALL,Full,10177.26,160.19,1630.32
workload-A,2.8,userspace,250000,250000,32,ALL,Full,10393.02,158.91,1651.58
workload-A,,performance,250000,500000,32,ALL,Full,10153.76,104.94,1065.51
workload-A,,conservative,250000,500000,32,ALL,Full,9906.41,91.58,907.2
workload-A,,powersave,250000,500000,32,ALL,Full,10199.85,86.54,882.67
workload-A,,ondemand,250000,500000,32,ALL,Full,9962.06,94.27,939.14
workload-A,1.0,userspace,250000,500000,32,ALL,Full,9796.75,86.37,846.16
workload-A,1.1,userspace,250000,500000,32,ALL,Full,10370.42,92.66,960.94
workload-A,1.2,userspace,250000,500000,32,ALL,Full,9838.56,91.54,900.58
workload-A,1.3,userspace,250000,500000,32,ALL,Full,10565.31,97.56,1030.8
workload-A,1.4,userspace,250000,500000,32,ALL,Full,9947.37,108.08,1075.16
workload-A,1.5,userspace,250000,500000,32,ALL,Full,9949.33,113.36,1127.88
workload-A,1.6,userspace,250000,500000,32,ALL,Full,10640.06,115.35,1227.38
workload-A,1.7,userspace,250000,500000,32,ALL,Full,10328.79,116.37,1201.97
workload-A,1.8,userspace,250000,500000,32,ALL,Full,10226.74,125.88,1287.32
workload-A,1.9,userspace,250000,500000,32,ALL,Full,10052.25,129.64,1303.14
workload-A,2.0,userspace,250000,500000,32,ALL,Full,9750.35,127.54,1243.57
workload-A,2.1,userspace,250000,500000,32,ALL,Full,10215.2,131.12,1339.46
workload-A,2.2,userspace,250000,500000,32,ALL,Full,10287.25,139.22,1432.14
workload-A,2.3,userspace,250000,500000,32,ALL,Full,10183.66,140.09,1426.61
workload-A,2.4,userspace,250000,500000,32,ALL,Full,10180.83,143.65,1462.45
workload-A,2.5,userspace,250000,500000,32,ALL,Full,10583.15,152.5,1613.93
workload-A,2.6,userspace,250000,500000,32,ALL,Full,10132.52,154.86,1569.1
workload-A,2.7,userspace,250000,500000,32,ALL,Full,9766.93,163.43,1596.26
workload-A,2.8,userspace,250000,500000,32,ALL,Full,10437.14,171.63,1791.28
workload-A,,performance,250000,750000,32,ALL,Full,9730.31,110.31,1073.39
workload-A,,conservative,250000,750000,32,ALL,Full,10012.03,90.94,910.48
workload-A,,powersave,250000,750000,32,ALL,Full,9831.76,81.24,798.76
workload-A,,ondemand,250000,750000,32,ALL,Full,10253.01,98.32,1008.07
workload-A,1.0,userspace,250000,750000,32,ALL,Full,10255.18,89.93,922.22
workload-A,1.1,userspace,250000,750000,32,ALL,Full,10250.61,94.21,965.68
workload-A,1.2,userspace,250000,750000,32,ALL,Full,10194.97,94.96,968.13
